city,location
0, 沈阳,东北地区
1, 大连,东北地区
2, 鞍山,东北地区
3, 抚顺,东北地区
4, 本溪,东北地区
5, 丹东,东北地区
6, 锦州,东北地区
7, 营口,东北地区
8, 阜新,东北地区
9, 辽阳,东北地区
10, 盘锦,东北地区
11, 铁岭,东北地区
12, 朝阳,东北地区
13, 葫芦岛,东北地区
14, 长春,东北地区
15, 吉林,东北地区
16, 四平,东北地区
17, 辽源,东北地区
18, 通化,东北地区
19, 白山,东北地区
20, 山松,东北地区
21, 松原,东北地区
22, 白城,东北地区
23, 延边,东北地区
24, 哈尔滨,东北地区
25, 齐齐哈尔,东北地区
26, 鸡西,东北地区
27, 鹤岗,东北地区
28, 双鸭山,东北地区
29, 山大,东北地区
30, 大庆,东北地区
31, 伊春,东北地区
32, 佳木斯,东北地区
33, 七台河,东北地区
34, 牡丹,东北地区
35, 牡丹江,东北地区
36, 黑河,东北地区
37, 绥化,东北地区
38, 大兴安岭,东北地区
39,北京,华北地区
40,天津,华北地区
41, 石家庄,华北地区
42, 唐山,华北地区
43, 秦皇岛,华北地区
44, 邯郸,华北地区
45, 邢台,华北地区
46, 保定,华北地区
47, 张家口,华北地区
48, 承德,华北地区
49, 沧州,华北地区
50, 廊坊,华北地区
51, 衡水,华北地区
52, 太原,华北地区
53, 大同,华北地区
54, 阳泉,华北地区
55, 长治,华北地区
56, 晋城,华北地区
57, 朔州,华北地区
58, 晋中,华北地区
59, 运城,华北地区
60, 忻州,华北地区
61, 临汾,华北地区
62, 吕梁,华北地区
63, 呼和浩特,华北地区
64, 包头,华北地区
65, 乌海,华北地区
66, 赤峰,华北地区
67, 通辽,华北地区
68, 鄂尔多斯,华北地区
69, 呼伦贝尔,华北地区
70, 巴彦淖尔,华北地区
71, 乌兰察布,华北地区
72, 兴安,华北地区
73, 锡林郭勒,华北地区
74, 林郭勒,华北地区
75, 阿拉善,华北地区
76,上海,华东地区
77, 南京,华东地区
78, 无锡,华东地区
79, 徐州,华东地区
80, 常州,华东地区
81, 苏州,华东地区
82, 南通,华东地区
83, 连云港,华东地区
84, 淮安,华东地区
85, 盐城,华东地区
86, 扬州,华东地区
87, 镇江,华东地区
88, 泰州,华东地区
89, 宿迁,华东地区
90, 杭州,华东地区
91, 宁波,华东地区
92, 温州,华东地区
93, 嘉兴,华东地区
94, 湖州,华东地区
95, 绍兴,华东地区
96, 金华,华东地区
97, 衢州,华东地区
98, 舟山,华东地区
99, 台州,华东地区
100, 丽水,华东地区
101, 合肥,华东地区
102, 芜湖,华东地区
103, 蚌埠,华东地区
104, 淮南,华东地区
105, 马鞍山,华东地区
106, 淮北,华东地区
107, 铜陵,华东地区
108, 安庆,华东地区
109, 黄山,华东地区
110, 滁州,华东地区
111, 阜阳,华东地区
112, 宿州,华东地区
113, 巢湖,华东地区
114, 六安,华东地区
115, 亳州,华东地区
116, 池州,华东地区
117, 宣城,华东地区
118, 福州,华东地区
119, 厦门,华东地区
120, 莆田,华东地区
121, 三明,华东地区
122, 泉州,华东地区
123, 漳州,华东地区
124, 南平,华东地区
125, 龙岩,华东地区
126, 宁德,华东地区
127, 南昌,华东地区
128, 景德镇,华东地区
129, 萍乡,华东地区
130, 九江,华东地区
131, 新余,华东地区
132, 鹰潭,华东地区
133, 赣州,华东地区
134, 吉安,华东地区
135, 宜春,华东地区
136, 抚州,华东地区
137, 上饶,华东地区
138, 济南,华东地区
139, 青岛,华东地区
140, 淄博,华东地区
141, 枣庄,华东地区
142, 东营,华东地区
143, 烟台,华东地区
144, 潍坊,华东地区
145, 威海,华东地区
146, 济宁,华东地区
147, 泰安,华东地区
148, 日照,华东地区
149, 莱芜,华东地区
150, 临沂,华东地区
151, 德州,华东地区
152, 聊城,华东地区
153, 滨州,华东地区
154, 菏泽,华东地区
155,广州,华南地区
156, 深圳,华南地区
157, 珠海,华南地区
158, 汕头,华南地区
159, 韶关,华南地区
160, 佛山,华南地区
161, 江门,华南地区
162, 湛江,华南地区
163, 茂名,华南地区
164, 肇庆,华南地区
165, 惠州,华南地区
166, 梅州,华南地区
167, 汕尾,华南地区
168, 河源,华南地区
169, 阳江,华南地区
170, 清远,华南地区
171, 远东,华南地区
172, 东莞,华南地区
173, 中山,华南地区
174, 潮州,华南地区
175, 揭阳,华南地区
176, 云浮,华南地区
177, 南宁,华南地区
178, 柳州,华南地区
179, 桂林,华南地区
180, 梧州,华南地区
181, 北海,华南地区
182, 防城港,华南地区
183, 钦州,华南地区
184, 贵港,华南地区
185, 玉林,华南地区
186, 百色,华南地区
187, 贺州,华南地区
188, 河池,华南地区
189, 来宾,华南地区
190, 崇左,华南地区
191, 海口,华南地区
192, 三亚,华南地区
193,郑州,华中地区
194, 开封,华中地区
195, 洛阳,华中地区
196, 阳平,华中地区
197, 平顶,华中地区
198, 平顶山,华中地区
199, 焦作,华中地区
200, 鹤壁,华中地区
201, 新乡,华中地区
202, 安阳,华中地区
203, 濮阳,华中地区
204, 许昌,华中地区
205, 漯河,华中地区
206, 三门峡,华中地区
207, 南阳,华中地区
208, 商丘,华中地区
209, 信阳,华中地区
210, 周口,华中地区
211, 驻马店,华中地区
212, 武汉,华中地区
213, 黄石,华中地区
214, 襄樊,华中地区
215, 十堰,华中地区
216, 荆州,华中地区
217, 宜昌,华中地区
218, 荆门,华中地区
219, 鄂州,华中地区
220, 孝感,华中地区
221, 黄冈,华中地区
222, 咸宁,华中地区
223, 随州,华中地区
224, 恩施,华中地区
225, 长沙,华中地区
226, 株洲,华中地区
227, 湘潭,华中地区
228, 衡阳,华中地区
229, 邵阳,华中地区
230, 常德,华中地区
231, 张家界,华中地区
232, 益阳,华中地区
233, 郴州,华中地区
234, 永州,华中地区
235, 怀化,华中地区
236, 娄底,华中地区
237, 湘西,华中地区
238,西安,西北地区
239, 铜川,西北地区
240, 宝鸡,西北地区
241, 咸阳,西北地区
242, 渭南,西北地区
243, 延安,西北地区
244, 汉中,西北地区
245, 榆林,西北地区
246, 安康,西北地区
247, 商洛,西北地区
248, 兰州,西北地区
249, 嘉峪关,西北地区
250, 金昌,西北地区
251, 白银,西北地区
252, 天水,西北地区
253, 武威,西北地区
254, 张掖,西北地区
255, 平凉,西北地区
256, 酒泉,西北地区
257, 庆阳,西北地区
258, 定西,西北地区
259, 陇南,西北地区
260, 临夏,西北地区
261, 甘南,西北地区
262, 西宁,西北地区
263, 海东,西北地区
264, 海北,西北地区
265, 黄南,西北地区
266, 海南,西北地区
267, 果洛,西北地区
268, 玉树,西北地区
269, 海西,西北地区
270, 银川,西北地区
271, 石嘴山,西北地区
272, 吴忠,西北地区
273, 固原,西北地区
274, 中卫,西北地区
275, 乌鲁木齐,西北地区
276, 克拉玛依,西北地区
277, 吐鲁番,西北地区
278, 哈密,西北地区
279,昌吉,西北地区
280,博尔塔拉,西北地区
281, 巴音郭楞,西北地区
282,阿克苏,西北地区
283, 和田,西北地区
284, 喀什,西北地区
285, 克孜勒苏柯尔克孜,西北地区
286,伊犁,西北地区
287, 塔城,西北地区
288, 阿勒泰,西北地区
289,成都,西南地区
290, 自贡,西南地区
291, 攀枝花,西南地区
292, 泸州,西南地区
293, 德阳,西南地区
294, 绵阳,西南地区
295, 广元,西南地区
296, 遂宁,西南地区
297, 内江,西南地区
298, 乐山,西南地区
299, 南充,西南地区
300, 宜宾,西南地区
301, 广安,西南地区
302, 达州,西南地区
303, 眉山,西南地区
304, 雅安,西南地区
305, 巴中,西南地区
306, 资阳,西南地区
307, 阿坝甘孜凉山,西南地区
308, 贵阳,西南地区
309, 六盘水,西南地区
310, 遵义,西南地区
311, 安顺,西南地区
312, 铜仁,西南地区
313, 毕节,西南地区
314, 黔西南,西南地区
315, 黔东南,西南地区
316, 黔南,西南地区
317, 昆明,西南地区
318, 曲靖,西南地区
319, 玉溪,西南地区
320, 保山,西南地区
321, 昭通,西南地区
322, 丽江,西南地区
323, 普洱,西南地区
324, 临沧,西南地区
325, 文山,西南地区
326, 红河,西南地区
327, 河西,西南地区
328, 西双版纳,西南地区
329, 楚雄,西南地区
330, 大理,西南地区
331, 德宏,西南地区
332, 怒江,西南地区
333, 迪庆,西南地区
334, 拉萨,西南地区
335, 昌都,西南地区
336, 山南,西南地区
337, 日喀则,西南地区
338, 那曲,西南地区
339, 阿里,西南地区
340, 林芝,西南地区
341, 重庆,西南地区
